Series Name                                                                                    , Series Code         , 1975 [YR1975]    , 1976 [YR1976]     , 1977 [YR1977]    , 1978 [YR1978]    , 1979 [YR1979]    , 1980 [YR1980]    , 1981 [YR1981]    , 1982 [YR1982]     , 1983 [YR1983]    , 1984 [YR1984]    , 1985 [YR1985]     , 1986 [YR1986]    , 1987 [YR1987]    , 1988 [YR1988]    , 1989 [YR1989]    , 1990 [YR1990]    , 1991 [YR1991]    , 1992 [YR1992]    , 1993 [YR1993]    , 1994 [YR1994]    , 1995 [YR1995]    , 1996 [YR1996]     , 1997 [YR1997]      , 1998 [YR1998]     , 1999 [YR1999]    , 2000 [YR2000]      , 2001 [YR2001]    , 2002 [YR2002]     , 2003 [YR2003]     , 2004 [YR2004]     , 2005 [YR2005]     , 2006 [YR2006]     , 2007 [YR2007]     , 2008 [YR2008]     , 2009 [YR2009]     , 2010 [YR2010]     , 2011 [YR2011]     , 2012 [YR2012]     , 2013 [YR2013]     , 2014 [YR2014]     , 2015 [YR2015]     , 2016 [YR2016]     , 2017 [YR2017]     , 2018 [YR2018]     , 2019 [YR2019]     , 2020 [YR2020]     , 2021 [YR2021]     , 2022 [YR2022]     , 2023 [YR2023]      , 2024 [YR2024]
Exports of goods and services (% of GDP)                                                       , NE.EXP.GNFS.ZS      , 11.6870384860995 , 10.6478782485962  , 9.34302962310014 , 9.43039912892579 , 11.0453274504271 , 12.5907959296094 , 12.8351953299113 , 10.1903695408735  , 12.1834752611921 , 11.3946574813841 , 10.5661887888986  , 12.296222586739  , 13.8094148431646 , 13.8588280235538 , 14.0719329128478 , 14.788718407651  , 16.9323927101705 , 17.2707273079987 , 16.2020946178116 , 16.1583805703018 , 16.709969655752  , 16.9031017751853  , 16.081953225121    , 16.4847911755655  , 15.3534993273502 , 9.62962610417459   , 10.626173080299  , 11.2629655687308  , 12.1646439105383  , 11.4229741601222  , 12.2518459289151  , 12.5489433238569  , 11.6250762010115  , 11.8758184433912  , 12.390986505409   , 12.6372221360882  , 13.4825548617217  , 11.8739621781713  , 12.1774992839349  , 11.1949725296552  , 9.97457101697387  , 8.73671724677937  , 8.22161246904219  , 8.58179970762808  , 9.39086337877951  , 9.29855904268724  , 9.05160046188653  , 10.5405906471536  , 10.4799366025461   , ..
"Foreign direct investment, net inflows (% of GDP)"                                            , BX.KLT.DINV.WD.GD.ZS, 0.222605973934864, 0.0624277014069093, 0.100642225435154, 0.181192853254975, 0.29588069717029 , 0.269010726210538, 0.384634937305679, 0.207749628001959 , 0.102666735817458, 0.1781923494967  , 0.421864139271513 , 0.33145270892202 , 0.387921173050002, 0.484736838916137, 0.524257200329788, 0.612997661913938, 0.566383737278734, 0.688313624140135, 0.672760011900901, 0.805118941060127, 1.19175194004056 , 1.45605449462756  , 1.14722858022912   , 0.813610045502484 , 0.84479500663461 , 0.309595026317044  , 0.38910658649849 , 0.843517300073237 , 0.475207711805665 , 0.845585701616171 , 1.51575083116461  , 2.63975006245443  , 3.03571933817685  , 2.68936656124595  , 1.24801305527951  , 1.02791108080423  , 0.575055145839944 , 0.343453048660945 , 0.515353849332245 , 0.695308116834202 , 0.557734356032139 , 0.821349998064174 , 0.735837049658425 , 0.487745750658143 , 0.696146480411465 , 0.684695289874347 , 0.616039439073827 , 0.389980753542853 , 0.606074413843099  , ..
Trade (% of GDP)                                                                               , NE.TRD.GNFS.ZS      , 32.3880449349271 , 28.9458746279648  , 27.200363276972  , 27.9180418977622 , 32.8645819972809 , 35.8968993803885 , 35.1680110425743 , 31.3222832005281  , 34.6919621171996 , 33.3626328602532 , 33.1707461712947  , 32.4067307767058 , 32.8971019024279 , 33.2842258313357 , 34.4216591208777 , 35.034575900498  , 35.4196551048403 , 37.6945397210631 , 38.4993168752315 , 35.0577237131595 , 36.132753673519  , 38.3301268339895  , 36.8522661008964   , 34.011725180531   , 32.3199628094266 , 21.4599693284272   , 23.5772088443194 , 23.1290205978884  , 24.6501661217502  , 24.8083408689766  , 29.8784979997418  , 33.0497121425934  , 30.7878804460736  , 34.3489604181778  , 33.3268855863775  , 31.9889982054491  , 32.3626382751438  , 31.3189707698136  , 30.8902750190393  , 29.4698258334981  , 26.6881846039541  , 24.7015795148236  , 25.4720364087022  , 27.6260563651623  , 28.9055757994453  , 26.7162804594298  , 27.030421558764   , 33.031353478032   , 28.6003112461277   , ..
Oil rents (% of GDP)                                                                           , NY.GDP.PETR.RT.ZS   , 3.73431996247341 , 3.70308522535093  , 3.98283274916567 , 3.55833110476852 , 8.68153657339598 , 0.608067628391009, 0.445263335252003, 0.305780402172892 , 0.37929411711431 , 0.385273994950384, 0.851518487934904 , 0.471893666903092, 0.627546251829285, 0.445922508923439, 0.722043753242761, 1.21484685318654 , 0.604785838863681, 0.566738014880155, 0.438293443851917, 0.405537823495565, 0.43607956088188 , 0.521201638149299 , 0.477123800065846  , 0.235044426782297 , 0.410262653806964, 0.57523060801743   , 0.499846315824726, 0.55283472801061  , 0.522591846064124 , 0.661270328742457 , 0.913653665209943 , 0.883595451345289 , 0.947147229187945 , 1.0846584932923   , 0.525570260608523 , 0.72864364053068  , 1.01863575475154  , 1.0633112529615   , 1.06026413011729  , 0.93400190583338  , 0.333804259360431 , 0.187153081394228 , 0.300559741011292 , 0.443490416507805 , 0.358191529536938 , 0.159470063577414 , 0.380197434318265 , ..                , ..                 , ..
"Agriculture, forestry, and fishing, value added (% of GDP)"                                   , NV.AGR.TOTL.ZS      , 30.1601863594254 , 29.4084256389801  , 29.3613270294094 , 28.6768291991335 , 27.7798014519149 , 26.5455057883072 , 27.4622927720025 , 28.447767916362   , 27.2732012942284 , 24.9045978818586 , 25.6891245920319  , 25.032651030451  , 23.6354521301218 , 23.1533234920912 , 23.9136337358476 , 23.0670733915693 , 22.8424456202234 , 23.3100129190967 , 22.1979399670103 , 22.7528245238533 , 23.4218793711634 , 23.1957958147755  , 24.4842507882018   , 25.3031382672009  , 25.169285514224  , 25.3871360412975   , 24.1449605032819 , 22.7026275435674  , 22.1519373367714  , 22.0018900085347  , 21.5745096992331  , 20.4183460540925  , 19.9379514329097  , 20.351365282755   , 21.7869229749534  , 22.6888101741789  , 23.819642978628   , 23.3861955340345  , 23.7075945934908  , 23.4927320097855  , 23.2628407756242  , 22.3283302035697  , 21.9632035366872  , 21.6512353593957  , 20.6778713222887  , 21.8541325548966  , 22.6625080760743  , 22.3268646996031  , 23.3290852852839   , ..
"Industry (including construction), value added (% of GDP)"                                    , NV.IND.TOTL.ZS      , 20.6362483473193 , 20.8892025405787  , 20.7675561610172 , 20.6426440731793 , 21.4821845419798 , 22.3051597282421 , 20.1343656990036 , 20.0580579283623  , 19.8942333288509 , 20.2435910262457 , 20.2297117272433  , 21.1557298671414 , 21.6301383980897 , 21.6952008398123 , 21.2080624102787 , 22.3442448854655 , 22.9309229864785 , 22.644989000194  , 22.5926839685189 , 22.3704577657958 , 21.3232921847751 , 21.9943844205166  , 21.5572792952471   , 22.0530195066132  , 22.103173212169  , 17.1836347813683   , 17.5934942779914 , 17.1588876671988  , 17.3885833649452  , 18.9071452885794  , 19.9330293059047  , 20.199119664936   , 19.9449553163591  , 21.1955484525846  , 20.3372467582902  , 20.9650197800876  , 21.1864809532945  , 21.9583720724829  , 20.8910295084645  , 20.8659912298838  , 19.602614668814   , 18.1501179723214  , 18.0993270885214  , 18.5890515927482  , 19.5638945814483  , 18.5894635445816  , 18.8964082009484  , 20.4125955543613  , 20.6772958630355   , ..
"Personal remittances, received (% of GDP)"                                                    , BX.TRF.PWKR.DT.GD.ZS, ..               , 3.12678016258323  , 5.76545758748698 , 7.3508457077478  , 7.62691764507606 , 8.6563962295082  , 7.35609811952724 , 8.42323757480126  , 10.2476344855881 , 8.28460491566596 , 8.14608758096142  , 7.66914898371919 , 6.5380152677286  , 4.86567402102492 , 5.02178391102508 , 5.01436068130985 , 3.39438232501182 , 3.2190438358492  , 2.79150186847426 , 3.34511569570683 , 2.82376378951299 , 2.02786922311198  , 2.73456924126094   , 1.88448808958283  , 1.58160869663171 , 1.08056705613903   , 1.50392783829178 , 3.62937104656209  , 3.52757185317913  , 2.98375276643631  , 2.94748457854817  , 3.16362276382615  , 3.25728883548923  , 3.48114218915231  , 4.65309230234024  , 4.92604271661375  , 5.31817590756805  , 5.60040378648877  , 5.65574753329438  , 6.35394444445627  , 6.43611445161773  , 6.31922966290135  , 5.85367806811606  , 5.95094743448361  , 6.9340427404279   , 8.68401332889248  , 8.98436279286431  , 8.04928811142895  , 7.85943568498292   , ..
Households and NPISHs final consumption expenditure (% of GDP)                                 , NE.CON.PRVT.ZS      , 81.8803234307403 , 79.181369089626   , 79.041456313273  , 81.2259688999285 , 83.2265346433061 , 82.9967674300428 , 80.5672978763174 , 81.3360110316234  , 80.1186650456795 , 80.2156731030343 , 81.6139546803288  , 76.2891326486982 , 72.6094756314205 , 72.042186058701  , 70.5814263165074 , 71.3850104504622 , 68.3370566333529 , 70.1638207506284 , 72.3731374321813 , 71.3011340050868 , 72.4237669098708 , 72.8821657477951  , 74.8755925927146   , 72.0668375624053  , 75.6879218099503 , 75.9740014396847   , 77.6722495585279 , 76.0120908082144  , 75.2747917828706  , 76.624839810653   , 79.9474148329358  , 78.1010189392007  , 79.5992966173462  , 82.0188094442955  , 79.4383534240968  , 79.8342485502447  , 80.5393112709335  , 82.3027657196906  , 81.2930927452825  , 82.1449493021535  , 81.1391521501089  , 80.6834422157779  , 81.942182981327   , 82.4005398342069  , 83.8744524029542  , 81.5148203710237  , 83.4629615451259  , 85.8977457844886  , 83.2188003295368   , ..
Population growth (annual %)                                                                   , SP.POP.GROW         , 2.98931944120814 , 3.06099476757709  , 3.13596391872731 , 3.20320937214696 , 3.46407267837998 , 4.08514964566703 , 4.17810201190455 , 3.75957440174228  , 3.46220072057645 , 3.13509160725294 , 3.1692834201536   , 3.38057189066263 , 3.40943919604165 , 3.36148582370259 , 3.26806216038551 , 3.34304854189447 , 3.30645345087216 , 2.86254207102062 , 2.7725055318492  , 2.89269657804833 , 2.89031173222832 , 2.9106898704011   , 2.82827034753681   , 2.76128567260809  , 2.7219371038823  , 2.82475983542412   , 2.79615830892104 , 2.45080308981688  , 2.35391613887513  , 2.4680911760913   , 2.40377350441569  , 2.3820052866049   , 2.6420312522935   , 2.67715693120755  , 2.5412831091032   , 2.47081701538021  , 2.23690940334662  , 1.90619981284679  , 1.62722414834854  , 1.50032405388564  , 1.40250113589189  , 1.30216393815952  , 1.41409990353131  , 1.62371483290292  , 1.69187124669657  , 1.80375141301202  , 1.8867779716011   , 1.74799739792983  , 1.54880458608849   , ..
Compensation of employees (% of expense)                                                       , GC.XPN.COMP.ZS      , ..               , ..                , ..               , ..               , ..               , ..               , ..               , ..                , ..               , ..               , ..                , ..               , ..               , ..               , ..               , ..               , ..               , ..               , ..               , ..               , ..               , ..                , ..                 , ..                , 4.44616051687624 , 4.00700732058188   , ..               , ..                , ..                , ..                , ..                , ..                , ..                , ..                , ..                , ..                , ..                , ..                , ..                , ..                , ..                , ..                , ..                , ..                , ..                , ..                , ..                , ..                , ..                 , ..
